615 WEST 136 STREET,373
618 WEST 136 STREET,266
622 WEST 136 STREET,212
619 WEST 136 STREET,123
522 WEST 136 STREET,63
601 WEST 135 STREET,62
502 WEST 136 STREET,49
622 WEST 137 STREET,39
514 WEST 136 STREET,37
514 WEST 135 STREET,32
504 WEST 136 STREET,31
519 WEST 134 STREET,30
611 WEST 137 STREET,30
593 RIVERSIDE DRIVE,25
611 WEST 136 STREET,24
623 WEST 136 STREET,24
636 WEST 136 STREET,21
505 WEST 135 STREET,18
527 WEST 135 STREET,17
525 WEST 135 STREET,17
609 WEST 137 STREET,16
621 WEST 136 STREET,14
515 WEST 134 STREET,14
507 WEST 134 STREET,14
596 RIVERSIDE DRIVE,13
507 WEST 136 STREET,11
530 WEST 136 STREET,10
612 WEST 137 STREET,10
511 WEST 135 STREET,10
601 WEST 137 STREET,9
510 WEST 135 STREET,9
510 WEST 136 STREET,8
516 WEST 136 STREET,7
612 WEST 136 STREET,7
611 WEST 135 STREET,6
501 WEST 134 STREET,6
607 WEST 136 STREET,6
616 WEST 136 STREET,6
609 WEST 135 STREET,5
511 WEST 134 STREET,5
602 WEST 137 STREET,5
WEST 136 STREET,5
531 WEST 135 STREET,5
520 WEST 136 STREET,5
604 RIVERSIDE DRIVE,5
616 WEST 137 STREET,4
615 WEST 135 STREET,4
HAMILTON PLACE,4
607 WEST 137 STREET,4
502 WEST 135 STREET,4
617 WEST 135 STREET,4
2 HAMILTON PLACE,3
629 WEST 135 STREET,3
625 WEST 137 STREET,3
508 WEST 136 STREET,3
525 WEST 134 STREET,3
516 WEST 135 STREET,3
W 136TH ST,3
540 WEST 136 STREET,3
517 WEST 135 STREET,3
594 RIVERSIDE DRIVE,3
523 WEST 135 STREET,3
BROADWAY,3
620 WEST 136 STREET,2
1536 AMSTERDAM AVENUE,2
625 WEST 136 STREET,2
529 WEST 135 STREET,2
626 WEST 136 STREET,2
600 WEST 136 STREET,2
587 RIVERSIDE DRIVE,2
583 RIVERSIDE DRIVE,2
630 WEST 138 STREET,2
509 WEST 135 STREET,2
515 WEST 135 STREET,2
613 WEST 136 STREET,2
628 WEST 137 STREET,2
636 WEST 138 STREET,2
600 WEST 138 STREET,2
614 WEST 136 STREET,2
507 WEST 135 STREET,2
624 WEST 136 STREET,2
WEST 137 STREET,2
521 WEST 135 STREET,2
627 WEST 137 STREET,2
3350 BROADWAY,1
505 WEST 134 STREET,1
533 WEST 136 STREET,1
627 WEST 136 STREET,1
630 WEST 136 STREET,1
518 WEST 136 STREET,1
519 WEST 135 STREET,1
623 WEST 137 STREET,1
1524 AMSTERDAM AVENUE,1
535 WEST 135 STREET,1
636 WEST  136 STREET,1
605 WEST  137 STREET,1
521 WEST 136 STREET,1
513 WEST 135 STREET,1
601 RIVERSIDE DRIVE,1
521 WEST 134 STREET,1
634 WEST 136 STREET,1
WEST 138 STREET,1
623 WEST  136 STREET,1
606 WEST 137 STREET,1
635 WEST 135 STREET,1
3367 BROADWAY,1
619 WEST 135 STREET,1
502 WEST  136 STREET,1
517 WEST 134 STREET,1
500 WEST 135 STREET,1
3370 BROADWAY,1
1540 AMSTERDAM AVENUE,1
536 WEST 136 STREET,1
509 WEST  135 STREET,1
518 WEST 135 STREET,1
636 WEST  138 STREET,1
622 WEST  136 STREET,1
504 WEST 135 STREET,1
605 WEST 137 STREET,1
512 WEST 135 STREET,1
501 WEST 135 STREET,1
625 WEST 135 STREET,1
601 WEST  135 STREET,1
506 WEST 136 STREET,1
525 WEST WEST 135 STREET,1
WEST 137TH STREET,1
1 HAMILTON PLACE,1
3360 BROADWAY,1
523 WEST 134 STREET,1
508 WEST 135 STREET,1
RIVERSIDE DRIVE,1
519W WEST 134 STREET,1
525W WEST 135 STREET,1
598 RIVERSIDE DRIVE,1
621 WEST 135 STREET,1
